commit	layer	status	description
3def8ae	1	keep	settings: 5 new properties with validation clamping
a1b3bee	1	keep	adaptive escalation: OptimizeAll restructured with per-tier early exit
a4834c0	2	keep	hysteresis band: disarm/re-arm cycle prevents thrashing
80b81ff	2	keep	rate-of-change: linear regression predicts threshold breach
7416cd6	2	keep	sorted trimming: descending by working set, early exit at target
8e32e42	3	keep	two-pass accessed bits: reset-flush-delay-purge pipeline
cfbf9d8	3	keep	effectiveness tracking: per-step measurement with skip logic
8075a50	3	keep	compressed memory awareness: adjust escalation based on OS compression
d57d907	3	keep	settings wiring: all 5 new settings flow from JSON to MemoryMonitor
c68a381	perf	keep	deferred PerformanceCounter creation to background thread
4b45f67	perf	keep	cached compressed memory lookup with 30s TTL
820f461	perf	keep	debounced settings save (500ms, snapshot on UI thread)
76070dc	perf	keep	async process list enumeration off UI thread
d9dfa01	perf	keep	cached tray icon renders, skip when percentage unchanged
77eae70	polish	keep	lazy-load process list on tab navigation
a5649fe	polish	keep	async Initialize with off-thread privilege enabling
350e5f0	polish	keep	skip compressed memory enumeration on first poll
3fd4470	polish	keep	remove Private Bytes from process view
cb98a8c	polish	keep	loading overlay with ProgressRing during init
